empfindl. Ökosystem;Überschreitung Critical Load;Anteil an Ökosystem-Gesamtfläche
Wald;-0.8881645;0.00213219616204691
Trockenwiesen/-weiden;0.324399;0.0126582278481013
Trockenwiesen/-weiden;0.36613655;0.0253164556962025
Wald;0.5597744;0.00426439232409382
Wald;0.8342943;0.00639658848614072
Wald;0.9615774;0.00852878464818763
Flachmoore;1.0609798;0.000738552437223043
Trockenwiesen/-weiden;1.0903225;0.0379746835443038
Trockenwiesen/-weiden;1.0910587;0.0506329113924051
Flachmoore;1.1165352;0.00147710487444609
Wald;1.1228218;0.0106609808102345
Wald;1.1383152;0.0127931769722814
Trockenwiesen/-weiden;1.1447144;0.0632911392405063
Flachmoore;1.2196598;0.00221565731166913
Wald;1.2267933;0.0149253731343284
Trockenwiesen/-weiden;1.234623;0.0759493670886076
Flachmoore;1.267376;0.00295420974889217
Wald;1.2935743;0.0170575692963753
Trockenwiesen/-weiden;1.3620529;0.0886075949367089
Flachmoore;1.4539948;0.00369276218611521
Flachmoore;1.480978;0.00443131462333826
Wald;1.5060062;0.0191897654584222
Wald;1.5284462;0.0213219616204691
Trockenwiesen/-weiden;1.5340672;0.10126582278481
Trockenwiesen/-weiden;1.5635452;0.113924050632911
Wald;1.5790358;0.023454157782516
Flachmoore;1.613512;0.0051698670605613
Flachmoore;1.6185303;0.00590841949778434
Trockenwiesen/-weiden;1.6258106;0.126582278481013
Flachmoore;1.644125;0.00664697193500739
Flachmoore;1.6638451;0.00738552437223043
Trockenwiesen/-weiden;1.6672211;0.139240506329114
Trockenwiesen/-weiden;1.8175926;0.151898734177215
Flachmoore;1.8259392;0.00812407680945347
Flachmoore;1.9324055;0.00886262924667651
Flachmoore;1.9522896;0.00960118168389956
Wald;1.9799232;0.0255863539445629
Wald;2.0041637;0.0277185501066098
Flachmoore;2.040245;0.0103397341211226
Flachmoore;2.0573368;0.0110782865583456
Flachmoore;2.0915565;0.0118168389955687
Flachmoore;2.0937157;0.0125553914327917
Flachmoore;2.120037;0.0132939438700148
Flachmoore;2.1954308;0.0140324963072378
Flachmoore;2.1967964;0.0147710487444609
