Standort;Standortklasse;Messgrösse;Einheit;Messwert;Jahr
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;44.84;2000
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;38.16;2001
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;38.1;2002
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;43.87;2003
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;39.08;2004
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;41.1;2005
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;42.03;2006
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;40.06;2007
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;37.82;2008
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;38.27;2009
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;37.62;2010
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;36.19;2011
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;32.24;2012
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;33.13;2013
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;31.53;2015
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;30.4;2016
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;28.75;2017
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.67;2018
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.15;2019
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;21.19;2020
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;21.12;2021
Zürich_Gerhardstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;21.17;2022
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;41.33;2000
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;32.22;2001
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;32.44;2002
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;36.72;2003
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;32.72;2004
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;33.84;2005
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;34.91;2006
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;32.94;2007
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;31.5;2008
Zürich_Paradeplatz;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;32.96;2009
