run;parameter;year;term;value
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1992;offset;107.36228559597932
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1993;offset;109.67528478043148
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1994;offset;107.55238339491652
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1995;offset;108.18601783473491
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1996;offset;106.24435727996713
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1997;offset;108.62511327713736
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1998;offset;113.0945597892037
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1999;offset;107.81860340226501
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2000;offset;106.86193736682213
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2001;offset;104.47338974708956
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2002;offset;104.73219969816014
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2003;offset;124.58991134118139
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2004;offset;106.651822084284
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2005;offset;105.96962955161024
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2006;offset;111.95125709947077
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2007;offset;103.2145591376061
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2008;offset;103.53538264239546
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2009;offset;103.82450303574377
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2010;offset;103.53280569371245
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2011;offset;106.313761334994
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2012;offset;102.57027379102674
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2013;offset;102.04619157647721
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2014;offset;98.5074086025259
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2015;offset;110.06926810864158
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2016;offset;98.1304429178372
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2017;offset;102.38843261536996
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2018;offset;114.42992534764718
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2019;offset;105.71737382893052
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2020;offset;99.62995934074321
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2021;offset;95.36200193524971
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2022;offset;105.11915645484656
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2023;offset;99.5162475930977
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2024;offset;94.63292988428823
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;2025;offset;99.68167499791343
2026-09-18 20:25:37;O3_peakseason_mean_d1_max_mean_h8gl;1992;slope;-0.6620504217169587
