year;ndep_exmax;n_ecosys;n_ecosys_cum;n_ecosys_cum_rel;source
1990;4.5;1;1;0.0012755102040816326;BAFU
1990;5.5;7;8;0.01020408163265306;BAFU
1990;6.5;3;11;0.01403061224489796;BAFU
1990;7.5;9;20;0.025510204081632654;BAFU
1990;8.5;13;33;0.042091836734693876;BAFU
1990;9.5;21;54;0.06887755102040816;BAFU
1990;10.5;23;77;0.09821428571428571;BAFU
1990;11.5;53;130;0.16581632653061223;BAFU
1990;12.5;49;179;0.22831632653061223;BAFU
1990;13.5;37;216;0.2755102040816326;BAFU
1990;14.5;45;261;0.33290816326530615;BAFU
1990;15.5;48;309;0.39413265306122447;BAFU
1990;16.5;52;361;0.4604591836734694;BAFU
1990;17.5;44;405;0.5165816326530612;BAFU
1990;18.5;49;454;0.5790816326530612;BAFU
1990;19.5;42;496;0.6326530612244898;BAFU
1990;20.5;54;550;0.701530612244898;BAFU
1990;21.5;28;578;0.7372448979591837;BAFU
1990;22.5;38;616;0.7857142857142857;BAFU
1990;23.5;27;643;0.8201530612244898;BAFU
1990;24.5;28;671;0.8558673469387755;BAFU
1990;25.5;17;688;0.8775510204081632;BAFU
1990;26.5;20;708;0.9030612244897959;BAFU
1990;27.5;21;729;0.9298469387755102;BAFU
1990;28.5;10;739;0.9426020408163265;BAFU
1990;29.5;3;742;0.9464285714285714;BAFU
1990;30.5;8;750;0.9566326530612245;BAFU
1990;31.5;3;753;0.9604591836734694;BAFU
1990;32.5;6;759;0.9681122448979592;BAFU
1990;33.5;6;765;0.9757653061224489;BAFU
1990;34.5;4;769;0.9808673469387755;BAFU
1990;35.5;5;774;0.9872448979591837;BAFU
1990;36.5;2;776;0.9897959183673469;BAFU
1990;37.5;1;777;0.9910714285714286;BAFU
1990;38.5;1;778;0.9923469387755102;BAFU
1990;40.5;6;784;1;BAFU
2000;3.5;4;4;0.00510204081632653;BAFU
2000;4.5;8;12;0.015306122448979591;BAFU
2000;5.5;9;21;0.026785714285714284;BAFU
2000;6.5;13;34;0.04336734693877551;BAFU
2000;7.5;20;54;0.06887755102040816;BAFU
2000;8.5;35;89;0.11352040816326531;BAFU
2000;9.5;63;152;0.19387755102040816;BAFU
2000;10.5;44;196;0.25;BAFU
2000;11.5;41;237;0.3022959183673469;BAFU
2000;12.5;59;296;0.37755102040816324;BAFU
2000;13.5;60;356;0.45408163265306123;BAFU
2000;14.5;55;411;0.5242346938775511;BAFU
2000;15.5;41;452;0.576530612244898;BAFU
2000;16.5;50;502;0.6403061224489796;BAFU
2000;17.5;54;556;0.7091836734693877;BAFU
2000;18.5;40;596;0.7602040816326531;BAFU
2000;19.5;29;625;0.7971938775510204;BAFU
2000;20.5;33;658;0.8392857142857143;BAFU
2000;21.5;27;685;0.8737244897959183;BAFU
2000;22.5;23;708;0.9030612244897959;BAFU
2000;23.5;17;725;0.9247448979591837;BAFU
2000;24.5;9;734;0.9362244897959183;BAFU
2000;25.5;14;748;0.9540816326530612;BAFU
2000;26.5;7;755;0.9630102040816326;BAFU
2000;27.5;5;760;0.9693877551020408;BAFU
2000;28.5;4;764;0.9744897959183674;BAFU
2000;29.5;2;766;0.9770408163265306;BAFU
2000;30.5;1;767;0.9783163265306123;BAFU
2000;31.5;2;769;0.9808673469387755;BAFU
2000;32.5;1;770;0.9821428571428571;BAFU
2000;33.5;1;771;0.9834183673469388;BAFU
2000;34.5;3;774;0.9872448979591837;BAFU
2000;35.5;2;776;0.9897959183673469;BAFU
2000;36.5;1;777;0.9910714285714286;BAFU
2000;37.5;1;778;0.9923469387755102;BAFU
2000;38.5;2;780;0.9948979591836735;BAFU
2000;39.5;1;781;0.9961734693877551;BAFU
2000;40.5;3;784;1;BAFU
2005;1.5;2;2;0.002551020408163265;BAFU
2005;2.5;7;9;0.011479591836734694;BAFU
2005;3.5;7;16;0.02040816326530612;BAFU
2005;4.5;15;31;0.039540816326530615;BAFU
2005;5.5;22;53;0.06760204081632654;BAFU
