year;pollutant;metric;parameter;concentration;population;population_cum;population_cum_rel;source
2010;NO2;Jahresmittel;NO2;6.5;16;16;1.1793244240865578e-5;BAFU & BFS
2010;NO2;Jahresmittel;NO2;7.5;53;69;5.022474119836633e-5;BAFU & BFS
2010;NO2;Jahresmittel;NO2;8.5;266;336;2.4361535764007872e-4;BAFU & BFS
2010;NO2;Jahresmittel;NO2;9.5;886;1221;8.868727575686538e-4;BAFU & BFS
2010;NO2;Jahresmittel;NO2;10.5;1528;2749;0.0019961102710633984;BAFU & BFS
2010;NO2;Jahresmittel;NO2;11.5;2424;5173;0.0037561016777697795;BAFU & BFS
2010;NO2;Jahresmittel;NO2;12.5;3580;8753;0.006355786616118407;BAFU & BFS
2010;NO2;Jahresmittel;NO2;13.5;6607;15360;0.01115309043524209;BAFU & BFS
2010;NO2;Jahresmittel;NO2;14.5;12483;27843;0.020217129369816664;BAFU & BFS
2010;NO2;Jahresmittel;NO2;15.5;19868;47712;0.03464337702352918;BAFU & BFS
2010;NO2;Jahresmittel;NO2;16.5;35208;82920;0.06020808273889871;BAFU & BFS
2010;NO2;Jahresmittel;NO2;17.5;50140;133060;0.0966148258283278;BAFU & BFS
2010;NO2;Jahresmittel;NO2;18.5;68103;201163;0.1460646953938737;BAFU & BFS
2010;NO2;Jahresmittel;NO2;19.5;82985;284148;0.20632031256013625;BAFU & BFS
2010;NO2;Jahresmittel;NO2;20.5;100329;384477;0.2791691084633964;BAFU & BFS
2010;NO2;Jahresmittel;NO2;21.5;108121;492598;0.35767564973323446;BAFU & BFS
2010;NO2;Jahresmittel;NO2;22.5;107315;599913;0.4355973240441715;BAFU & BFS
2010;NO2;Jahresmittel;NO2;23.5;90509;690422;0.5013162620841533;BAFU & BFS
2010;NO2;Jahresmittel;NO2;24.5;78669;769091;0.5584377577133688;BAFU & BFS
2010;NO2;Jahresmittel;NO2;25.5;65874;834965;0.6062689318908072;BAFU & BFS
2010;NO2;Jahresmittel;NO2;26.5;63982;898947;0.6527264856253079;BAFU & BFS
2010;NO2;Jahresmittel;NO2;27.5;56939;955887;0.6940701900930621;BAFU & BFS
2010;NO2;Jahresmittel;NO2;28.5;59308;1015195;0.7371339884515701;BAFU & BFS
2010;NO2;Jahresmittel;NO2;29.5;53373;1068568;0.7758884076967952;BAFU & BFS
2010;NO2;Jahresmittel;NO2;30.5;54258;1122826;0.8152850581176259;BAFU & BFS
2010;NO2;Jahresmittel;NO2;31.5;55784;1178610;0.8557901620666252;BAFU & BFS
2010;NO2;Jahresmittel;NO2;32.5;40341;1218951;0.8850814860855178;BAFU & BFS
2010;NO2;Jahresmittel;NO2;33.5;38557;1257508;0.9130776479777858;BAFU & BFS
2010;NO2;Jahresmittel;NO2;34.5;33374;1290882;0.9373106661217265;BAFU & BFS
2010;NO2;Jahresmittel;NO2;35.5;30340;1321222;0.9593408148596166;BAFU & BFS
2010;NO2;Jahresmittel;NO2;36.5;22117;1343339;0.9753999628872824;BAFU & BFS
2010;NO2;Jahresmittel;NO2;37.5;11064;1354403;0.9834332177468817;BAFU & BFS
2010;NO2;Jahresmittel;NO2;38.5;8718;1363121;0.989763183212531;BAFU & BFS
2010;NO2;Jahresmittel;NO2;39.5;6279;1369400;0.9943225418769235;BAFU & BFS
2010;NO2;Jahresmittel;NO2;40.5;1752;1371151;0.995594341252658;BAFU & BFS
2010;NO2;Jahresmittel;NO2;41.5;1840;1372991;0.9969301927354259;BAFU & BFS
2010;NO2;Jahresmittel;NO2;42.5;218;1373209;0.9970886240260993;BAFU & BFS
2010;NO2;Jahresmittel;NO2;43.5;679;1373888;0.9975816849812661;BAFU & BFS
2010;NO2;Jahresmittel;NO2;44.5;757;1374646;0.99813165494215506;BAFU & BFS
2010;NO2;Jahresmittel;NO2;45.5;741;1375386;0.9986693842402853;BAFU & BFS
2010;NO2;Jahresmittel;NO2;46.5;786;1376172;0.9992399027133524;BAFU & BFS
2010;NO2;Jahresmittel;NO2;47.5;109;1376281;0.9993188351631986;BAFU & BFS
2010;NO2;Jahresmittel;NO2;48.5;436;1376717;0.9996356390024413;BAFU & BFS
2010;NO2;Jahresmittel;NO2;51.5;502;1377219;1;BAFU & BFS
