pollutant;metric;vehicle_model_year;vehicle_type;vehicle_fuel_type;emission;unit;n;standarderror;nox_emission_threshold_g_per_kg_fuel;source
NOx;Mittelwert;1992;passenger car;gasoline;9.738206732028587;g/kg fuel;3079;0.26641741408610636;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1992;passenger car;diesel;NA;g/kg fuel;37;NA;20;Kanton Zürich/AWEL
NOx;Mittelwert;1992;light duty vehicle;gasoline;13.007170344866694;g/kg fuel;117;1.3453783696549024;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1992;light duty vehicle;diesel;11.185307173323334;g/kg fuel;82;0.6053280213859162;20;Kanton Zürich/AWEL
NOx;Mittelwert;1993;passenger car;gasoline;8.927182938839085;g/kg fuel;3789;0.2127837016173359;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1993;passenger car;diesel;12.354077882434341;g/kg fuel;68;1.2356295339061925;20;Kanton Zürich/AWEL
NOx;Mittelwert;1993;light duty vehicle;gasoline;12.52808263431278;g/kg fuel;142;1.2890048900932305;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1993;light duty vehicle;diesel;NA;g/kg fuel;20;NA;20;Kanton Zürich/AWEL
NOx;Mittelwert;1994;passenger car;gasoline;8.365361439831329;g/kg fuel;5055;0.18658778725675343;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1994;passenger car;diesel;13.601899134943876;g/kg fuel;95;0.9636227572249595;20;Kanton Zürich/AWEL
NOx;Mittelwert;1994;light duty vehicle;gasoline;13.92425678863379;g/kg fuel;252;1.1929818257184392;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1994;light duty vehicle;diesel;NA;g/kg fuel;45;NA;20;Kanton Zürich/AWEL
NOx;Mittelwert;1995;passenger car;gasoline;7.770291032896322;g/kg fuel;5550;0.17650473613518547;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1995;passenger car;diesel;12.059308735826678;g/kg fuel;136;0.8276452756875058;20;Kanton Zürich/AWEL
NOx;Mittelwert;1995;light duty vehicle;gasoline;10.9440434595717;g/kg fuel;283;0.9723389546323861;8.3;Kanton Zürich/AWEL
NOx;Mittelwert;1995;light duty vehicle;diesel;17.817809372279328;g/kg fuel;120;0.8821006389539403;20;Kanton Zürich/AWEL
NOx;Mittelwert;1996;passenger car;gasoline;6.2981393232777805;g/kg fuel;8826;0.12255432831053863;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1996;passenger car;diesel;16.14637998805009;g/kg fuel;382;0.566519751443155;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1996;light duty vehicle;gasoline;10.51678552294359;g/kg fuel;513;0.7182541069367235;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1996;light duty vehicle;diesel;17.134918216081438;g/kg fuel;201;0.6547269417906365;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1997;passenger car;gasoline;5.334862431689523;g/kg fuel;9315;0.10766436879501978;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1997;passenger car;diesel;16.985740406151308;g/kg fuel;292;0.6089650816264632;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1997;light duty vehicle;gasoline;9.772443449554773;g/kg fuel;434;0.6396248551279728;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1997;light duty vehicle;diesel;18.85077980611467;g/kg fuel;174;0.8187372028430311;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1998;passenger car;gasoline;4.889343951217893;g/kg fuel;12321;0.09567869366881004;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1998;passenger car;diesel;20.94481496911054;g/kg fuel;580;0.450167973949898;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1998;light duty vehicle;gasoline;6.970592071833048;g/kg fuel;699;0.4742268511649777;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1998;light duty vehicle;diesel;16.682875647754383;g/kg fuel;521;0.42010352677003676;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1999;passenger car;gasoline;4.119670103020908;g/kg fuel;14134;0.08801571336258852;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1999;passenger car;diesel;22.831056697038843;g/kg fuel;899;0.4147418976193623;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;1999;light duty vehicle;gasoline;5.974495624827595;g/kg fuel;577;0.569390161233399;3.6;Kanton Zürich/AWEL
NOx;Mittelwert;1999;light duty vehicle;diesel;19.30219634880035;g/kg fuel;385;0.5206348786823726;10.9;Kanton Zürich/AWEL
NOx;Mittelwert;2000;passenger car;gasoline;2.542762858467276;g/kg fuel;23517;0.04670965944629207;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2000;passenger car;diesel;24.032467063151252;g/kg fuel;2637;0.25715488699001354;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2000;light duty vehicle;gasoline;4.530277798971692;g/kg fuel;699;0.45426943756214433;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2000;light duty vehicle;diesel;19.827667092167417;g/kg fuel;563;0.4922556194594502;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2001;passenger car;gasoline;1.7826362808752936;g/kg fuel;16909;0.040397795945114105;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2001;passenger car;diesel;22.839405156763714;g/kg fuel;2591;0.251535331377529;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2001;light duty vehicle;gasoline;3.060778274593907;g/kg fuel;820;0.30304553268638906;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2001;light duty vehicle;diesel;24.088447493068504;g/kg fuel;1768;0.32796689696217607;10.3;Kanton Zürich/AWEL
