starttime;site;parameter;interval;unit;value;source
1989-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
1990-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;106.10446613678572;OSTLUFT
1992-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;120.71016886608426;OSTLUFT
1993-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;116.29404893420082;OSTLUFT
1994-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;111.09364249772419;OSTLUFT
1995-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;109.28004944380434;OSTLUFT
1996-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;111.87273604619566;OSTLUFT
1997-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;111.63479078230556;OSTLUFT
1998-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;107.00002420594093;OSTLUFT
1999-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
2000-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;107.09671107045764;OSTLUFT
2001-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;108.72044490748618;OSTLUFT
2002-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;126.20173603382514;OSTLUFT
2003-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;108.98911122491803;OSTLUFT
2004-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;107.59051302228261;OSTLUFT
2005-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;109.69914496763121;OSTLUFT
2006-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;104.59638318459919;OSTLUFT
2007-12-31T23:00:00Z;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;102.84132910435461;OSTLUFT
2018-12-31T23:00:00Z;Bul_Stadthalle;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;95.88197291201766;OSTLUFT
2016-12-31T23:00:00Z;Hor_Sekundarschule;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;91.80089888476776;OSTLUFT
2017-12-31T23:00:00Z;Hor_Sekundarschule;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;106.51443015668033;OSTLUFT
2019-12-31T23:00:00Z;Klo_Feld;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;95.10737558880464;OSTLUFT
2020-12-31T23:00:00Z;Klo_Feld;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;87.38186759854396;OSTLUFT
2021-12-31T23:00:00Z;Klo_Feld;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;98.08864426829756;OSTLUFT
2018-12-31T23:00:00Z;Klo_Gerlisbergstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.69394419415761;OSTLUFT
2011-12-31T23:00:00Z;Kno_Oberdorfstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;87.05309607954234;OSTLUFT
2017-12-31T23:00:00Z;Mei_Bezirksgericht;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;106.15102726172815;OSTLUFT
2000-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;71.07052326488451;OSTLUFT
2001-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;67.5009398896413;OSTLUFT
2003-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;71.83802407892308;OSTLUFT
2005-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;75.28974960092008;OSTLUFT
2007-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;72.2330272155197;OSTLUFT
2008-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;72.55227969071467;OSTLUFT
2009-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;73.22533946877049;OSTLUFT
2010-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;74.99203095891916;OSTLUFT
2011-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;69.90726852426087;OSTLUFT
2012-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;68.87189739884171;OSTLUFT
2013-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;69.2265303905659;OSTLUFT
2014-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;77.92590562207582;OSTLUFT
2015-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;68.21823063097199;OSTLUFT
2016-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;74.1714859038587;OSTLUFT
2017-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;85.97560254463798;OSTLUFT
2018-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;78.44187985557744;OSTLUFT
2019-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;77.68321920899456;OSTLUFT
2020-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;70.49350757410326;OSTLUFT
2021-12-31T23:00:00Z;Opf_Balsberg;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.14632279883152;OSTLUFT
2018-12-31T23:00:00Z;Opf_Glattpark;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;95.68658115885191;OSTLUFT
2021-12-31T23:00:00Z;Opf_Glattpark;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;96.79578767426912;OSTLUFT
2014-12-31T23:00:00Z;Sch_Güterstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;97.55188016103142;OSTLUFT
2017-12-31T23:00:00Z;Sch_Güterstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;104.18879106515027;OSTLUFT
2020-12-31T23:00:00Z;Sch_Güterstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;86.06574983916667;OSTLUFT
2019-12-31T23:00:00Z;Ust_Bildungszentrum;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;92.27070451721467;OSTLUFT
1989-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;101.23823906073935;OSTLUFT
1990-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;103.6852817889037;OSTLUFT
1991-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;83.8687383182894;OSTLUFT
1992-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;94.14502075011481;OSTLUFT
1993-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;95.71310152673233;OSTLUFT
1994-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;90.44634230565897;OSTLUFT
1995-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;88.74842389344225;OSTLUFT
1996-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.16642708132201;OSTLUFT
1997-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;59.887948035669396;OSTLUFT
1998-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;88.0117467619595;OSTLUFT
1999-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;89.05648345771942;OSTLUFT
2000-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.00901808664176;OSTLUFT
2001-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;92.82272423707182;OSTLUFT
2002-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;74.6211245013592;OSTLUFT
2003-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;95.10903488027853;OSTLUFT
2004-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.49146595090353;OSTLUFT
2005-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;99.88272531913043;OSTLUFT
2006-12-31T23:00:00Z;Wal_Dietlikonerstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;94.41406635993478;OSTLUFT
2006-12-31T23:00:00Z;Wet_Weieraecher;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.88615905862092;OSTLUFT
2007-12-31T23:00:00Z;Wet_Weieraecher;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;97.95856806871585;OSTLUFT
2008-12-31T23:00:00Z;Wet_Weieraecher;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.5433691892663;OSTLUFT
2009-12-31T23:00:00Z;Wet_Weieraecher;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.93469321701502;OSTLUFT
2010-12-31T23:00:00Z;Wet_Weieraecher;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;96.97277011325815;OSTLUFT
2014-12-31T23:00:00Z;Wez_Turnhallenstrasse;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;99.48756087352459;OSTLUFT
2019-12-31T23:00:00Z;Win_Neuhegi;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;93.83335859465164;OSTLUFT
1989-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
1990-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;102.68414617138743;OSTLUFT
1991-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;76.21475588211888;OSTLUFT
1992-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;74.8368853688441;OSTLUFT
1993-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;78.28991429848361;OSTLUFT
1994-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;80.64514521135588;OSTLUFT
1995-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;77.9507581322405;OSTLUFT
1996-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;76.10951690906182;OSTLUFT
1997-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.18694794100203;OSTLUFT
1998-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;80.01203286648833;OSTLUFT
1999-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;78.55956070616209;OSTLUFT
2000-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;73.46814115836482;OSTLUFT
2001-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
2002-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;102.63668129449177;OSTLUFT
2003-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;83.22127564181558;OSTLUFT
2004-12-31T23:00:00Z;Win_Obertor;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;79.58869952625;OSTLUFT
