starttime;site;parameter;interval;unit;value;site_long;x;y;masl;source;siteclass
2000-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;44.84;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2001-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;38.16;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2002-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;38.09999847;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2003-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;43.87;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2004-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;39.08;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2005-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;41.1;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2006-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;42.0279;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2007-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;40.06;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2008-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;37.81502712;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2009-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;38.27101164;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2010-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;37.62;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2011-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;36.1874181;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2012-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;32.24;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2013-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;33.13;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2014-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;30.64;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2015-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;31.53;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2016-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;30.4;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2017-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;28.75;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2018-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;26.67;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2019-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;25.34;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2020-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;21.19;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2021-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;21.12;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2022-01-01 00:00:00;8000_0060;NO2;y1;µg/m3;21.17;Zürich - Gerhardstrasse;2681916;1247180;415;OSTLUFT;städtisch - Hintergrund
2000-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;41.33;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2001-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;32.22;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2002-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;32.43937167;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2003-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;36.72;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2004-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;32.72;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2005-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;33.84;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2006-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;34.9138;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2007-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;32.94;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2008-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;31.5015295;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2009-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;32.9635148;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2010-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;33.04;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2011-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;31.63808608;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2012-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;30.08;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2013-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;32.37;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2014-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;28.43;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2015-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;28.63;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2016-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;27.98;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2017-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;25.53;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2018-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;24.3;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2019-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;23.12;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2020-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;18.92;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2021-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;18.55;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2022-01-01 00:00:00;8000_0070;NO2;y1;µg/m3;19.24;Zürich - Paradeplatz;2683116;1247165;415;OSTLUFT;städtisch - Hintergrund
2000-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;57.8;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2001-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;50.03;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2002-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;51.94171327;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2003-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;60.84;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2004-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;54.55;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2005-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;59.1;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2006-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;62.1239;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2007-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;59.34;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2008-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;55.79776791;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2009-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;62.38373798;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2010-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;61.16;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2011-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;59.58915425;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2012-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;56.61;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2013-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;60.47;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2014-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;53.63;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2015-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;NA;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2016-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;54.18;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2017-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;51.72;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2018-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;48.01;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2019-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;46.84;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2020-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;38.91;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2021-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;38.26;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2022-01-01 00:00:00;8000_0080;NO2;y1;µg/m3;37.4;Zürich - Bellevue;2683576;1246775;410;OSTLUFT;städtisch - verkehrsbelastet
2001-01-01 00:00:00;8000_0090;NO2;y1;µg/m3;45.02;Zürich - Rosengarten;2682101;1249920;430;OSTLUFT;städtisch - verkehrsbelastet
2002-01-01 00:00:00;8000_0090;NO2;y1;µg/m3;45.29999924;Zürich - Rosengarten;2682101;1249920;430;OSTLUFT;städtisch - verkehrsbelastet
