starttime;site;parameter;interval;unit;value;source
1990-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
1991-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;106.10446613678572;OSTLUFT
1992-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
1993-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;120.77967697872238;OSTLUFT
1994-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;116.31946337767076;OSTLUFT
1995-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;111.17814538220789;OSTLUFT
1996-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;109.41198778445653;OSTLUFT
1997-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;111.87273604619566;OSTLUFT
1998-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;111.66797151342361;OSTLUFT
1999-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;107.4943824514276;OSTLUFT
2000-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA;OSTLUFT
2001-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;107.11835400239072;OSTLUFT
2002-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;108.76800166120165;OSTLUFT
2003-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;126.22590828013661;OSTLUFT
2004-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;109.00879783946722;OSTLUFT
2005-01-01 00:00:00;Bac_Turm;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;107.59051302228261;OSTLUFT
