Station;Stationscode;Ost Y;Nord X;Höhe;Zonentyp;Stationstyp;Schadstoff;Messparameter;Einheit;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"O3";"höchster 98%-Wert eines Monats";"µg/m3";148.0*;176.0;176.0;172.0;156.0;160.0;164.0;165.0;177.0;149.0;183.0;176.0;154.0;178.0;187.0;153.0;151.0;160.0;165.0;199.0;165.0;163.0;182.0;154.0;147.0;151.0;178.0;156.0;144.0;157.0;148.0;175.0;142.0;148.0;169.0;160.0;141.0;140.0;147.0;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"O3";"Anzahl Stundenmittel > 120 µg/m3";"Anzahl";86*;260;353;318;178;237;297;331;318;258;384;352;332;326;400;264;223;311;318;729;342;295;425;301;221;221;302;255;205;333;182;407;207;225;499;330;252;128;281;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"O3";"Dosis AOT40f";"ppm·h";9.2;16.4;15.8;15.1;12.2;13.3;15.0;16.6;15.8;12.0;17.0;16.6;14.9;16.1;19.6;14.3;12.7;15.1;16.0;29.6;16.2;15.2;19.8;14.6;13.0;13.3;14.7;16.0;12.3;14.9;11.6;17.5;12.0;13.2;21.9;15.8;14.3;9.8;9.8;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"SO2";"Jahresmittel";"µg/m3";27.1*;36.0;26.2;30.2*;18.0;16.7;11.9;13.0;10.0;8.5;6.0;7.0;6.3;5.6;5.9;4.0;3.4*;5.3*;3.2;;;;;;;1.7;2.1;1.7;1.6;1.3;1.2;1.1;1.0;1.0;0.9;0.8;0.7;0.4;0.4;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"NO2";"Jahresmittel";"µg/m3";47.7*;49.3;52.1;40.0;40.2;45.6;43.7;40.4;34.9;34.1;31.5;33.4;34.5;33.7;35.0;34.6;30.7;29.0;29.3;32.1;28.5;29.3;29.9;27.8;27.2;28.3;28.2;28.1;26.8;26.9;25.6;27.0;24.9;24.7;23.3;21.6;19.5;19.0;19.0;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"CO";"Jahresmittel";"mg/m3";1.20*;1.48;1.26;1.17;1.17;0.95;0.78;0.69;0.66;0.68;0.62;0.64;0.62;0.64;0.58;0.54;;;;;;;;;;0.36;0.34;0.34;0.31;0.32;0.30;0.29;0.27;0.25;0.25;0.28;0.25;0.25;0.22;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"PM10";"Jahresmittel";"µg/m3";;;;;;;;;;;;;;29.8;26.7;23.6;20.8;20.6;23.1;26.9;22.1;21.3;23.8;20.4;18.5;18.7;18.3;18.6;16.4;17.7;13.9;16.0;13.7;13.8;14.8;12.7;11.9;12.8;14.1;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"PM2.5";"Jahresmittel";"µg/m3";;;;;;;;;;;;;;;19.9;;;;;;;;;;;;;13.7;11.9;13.4;8.4;10.9;10.4;9.5;10.7;9.0;8.4;8.6;9.3;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"EC / Russ";"Jahresmittel";"µg/m3";;;;;;;;;;;;;;;;;;;;;;;;;;;1.21;1.14;0.84;0.74;0.72;0.70;0.63;0.58;0.60;0.48;0.51;0.41;0.42;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"Benzol";"Jahresmittel";"µg/m3";;;;;;;;;;;3.5;4.1;3.4;3.6;2.6;2.9;2.0;1.5;1.5;1.2;0.9;1.1;1.4;1.1;1.1;1.1;0.9;0.9;0.8;0.8;0.6;0.7;0.6;0.5;0.5;0.5;0.5;0.5;0.5;
"Dübendorf-EMPA";"zhDUE";"2688675";"1250900";"432";"Vorstädtisch";"Hintergrund";"NMVOC";"Jahresmittel";"µg CH4/m3";;;202.0*;227.9;146.3;154.0;129.3;155.3;119.1;114.2;97.0;81.3;79.0;87.8;80.0;73.9;72.6;71.5;75.1;84.2;67.0;61.2;63.3;50.3;48.4;51.6;46.2;59.9;56.5;55.4;55.2;53.0;56.0;48.0;39.0;42.0;41.0;48.0;;
"Zürich-Kaserne";"zhZUE";"2682450";"1247990";"409";"Städtisch";"Hintergrund";"O3";"höchster 98%-Wert eines Monats";"µg/m3";;148.0;142.0;126.0;152.0;146.0;156.0;143.0;173.0;150.0;173.0;168.0;151.0;172.0;181.0;142.0;164.0;156.0;155.0;186.0;157.0;163.0;178.0;148.0;144.0;141.0;174.0;154.0;144.0;156.0;141.0;174.0;135.0;143.0;169.0;159.0;139.0;139.0;144.0;
"Zürich-Kaserne";"zhZUE";"2682450";"1247990";"409";"Städtisch";"Hintergrund";"O3";"Anzahl Stundenmittel > 120 µg/m3";"Anzahl";;124;164;110;126;227;262;114;310;209;317;268;244;257;360;192;269;220;249;647;216;268;372;253;192;160;290;250;189;305;160;341;182;208;509;308;242;140;272;
