year;site;site_long;siteclass;x;y;masl;pollutant;metric;parameter;concentration;unit;source
1994;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;45.08;µg/m3;Ostluft
1995;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;46.06;µg/m3;Ostluft
1996;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;46.86;µg/m3;Ostluft
1997;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;46.35;µg/m3;Ostluft
1998;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;44.92;µg/m3;Ostluft
1999;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;45.06;µg/m3;Ostluft
2000;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;44.84;µg/m3;Ostluft
2001;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;38.16;µg/m3;Ostluft
2002;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;38.09999847;µg/m3;Ostluft
2003;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;43.87;µg/m3;Ostluft
2004;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;39.08;µg/m3;Ostluft
2005;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;41.1;µg/m3;Ostluft
2006;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;42.0279;µg/m3;Ostluft
2007;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;40.06;µg/m3;Ostluft
2008;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;37.81502712;µg/m3;Ostluft
2009;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;38.27101164;µg/m3;Ostluft
