year;pollutant;metric;parameter;type;n;reference_year;site;class;value
1990;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;5;2015;Kanton Zürich;relative Immission;2.1849105974705627
1991;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;5;2015;Kanton Zürich;relative Immission;2.1674662014827737
1992;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;5;2015;Kanton Zürich;relative Immission;1.74804465154819
1993;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;5;2015;Kanton Zürich;relative Immission;1.8578281726995203
1994;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;32;2015;Kanton Zürich;relative Immission;1.4749236807675534
1995;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;18;2015;Kanton Zürich;relative Immission;1.5030527692978632
1996;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;18;2015;Kanton Zürich;relative Immission;1.559092891408635
1997;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;18;2015;Kanton Zürich;relative Immission;1.5080195547317925
1998;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;18;2015;Kanton Zürich;relative Immission;1.532805013301352
1999;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;34;2015;Kanton Zürich;relative Immission;1.514391626689926
2000;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;21;2015;Kanton Zürich;relative Immission;1.4160488443087658
2001;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;23;2015;Kanton Zürich;relative Immission;1.4108155255124293
2002;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;37;2015;Kanton Zürich;relative Immission;1.1251635080680331
2003;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;35;2015;Kanton Zürich;relative Immission;1.3519406890536416
2004;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;58;2015;Kanton Zürich;relative Immission;1.136284343654601
2005;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;36;2015;Kanton Zürich;relative Immission;1.2248146532926298
2006;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;37;2015;Kanton Zürich;relative Immission;1.3412996075010903
2007;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;86;2015;Kanton Zürich;relative Immission;0.966201482773659
2008;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;89;2015;Kanton Zürich;relative Immission;1.0247607278674227
2009;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;82;2015;Kanton Zürich;relative Immission;1.0169306879633668
2010;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;95;2015;Kanton Zürich;relative Immission;1.026602703881378
2011;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;98;2015;Kanton Zürich;relative Immission;0.962370665721762
2012;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;99;2015;Kanton Zürich;relative Immission;0.9572612298299171
2013;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;61;2015;Kanton Zürich;relative Immission;1.0789716362843436
2014;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;71;2015;Kanton Zürich;relative Immission;0.9555167902311382
2015;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;81;2015;Kanton Zürich;relative Immission;1
2016;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;76;2015;Kanton Zürich;relative Immission;0.9387265590928914
2017;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;99;2015;Kanton Zürich;relative Immission;0.9140863497601396
2018;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;89;2015;Kanton Zürich;relative Immission;0.85041430440471
2019;Stickoxide | Stickstoffdioxid;Jahresmittel;NO2;Messwerte;77;2015;Kanton Zürich;relative Immission;0.8853030963802879
