year;site;pollutant;type;value;relative Immission;reference_year
2000;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2001;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2005;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.760989010989011;1.1356880294070641;2021
2017;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.6;1.116957008150871;2021
2018;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;10.810684931506849;1.2578198226205828;2021
2019;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.03917808219178;1.0517055527945687;2021
2020;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;8.373901098901099;0.9743007831229025;2021
2021;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;8.594780219780219;1;2021
2022;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.550684931506849;1.111219215300781;2021
2023;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;8.086301369863014;0.9408386442800503;2021
2024;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;7.240710382513661;0.8424543964311884;2021
2000;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2005;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.697967659500552;1.090285156551265;2021
2017;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.463156629325216;1.063886740946746;2021
2018;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.427468272754947;1.059874510055034;2021
2019;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.171129810248605;1.031055892532625;2021
2020;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.965452299704925;1.007932786263807;2021
2021;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.89489103032153;1;2021
2022;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.907465252511415;1.0014136454451237;2021
2023;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.724840715271435;0.9808822486447091;2021
2024;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.558870345324832;0.9622231813912901;2021
2020;Klo_Feld;Feinstaub PM2.5;gemessen;8.913563941825657;0.9689221132360614;2021
2021;Klo_Feld;Feinstaub PM2.5;gemessen;9.199463837248619;1;2021
2022;Klo_Feld;Feinstaub PM2.5;gemessen;8.74205585364835;0.9502788432356;2021
2023;Klo_Feld;Feinstaub PM2.5;gemessen;7.895514290326923;0.8582580930812506;2021
2024;Klo_Feld;Feinstaub PM2.5;gemessen;NA;NA;2021
2020;Klo_Feld;Feinstaub PM2.5;Trend;8.900705298903452;1.0142497033077704;2021
2021;Klo_Feld;Feinstaub PM2.5;Trend;8.775654821367558;1;2021
2022;Klo_Feld;Feinstaub PM2.5;Trend;8.504465552627657;0.9690975460794571;2021
2023;Klo_Feld;Feinstaub PM2.5;Trend;8.405451612462628;0.9578147481366821;2021
2024;Klo_Feld;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2017;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2018;Opf_Balsberg;Feinstaub PM2.5;gemessen;10.68478330241096;1.2200953004182382;2021
2019;Opf_Balsberg;Feinstaub PM2.5;gemessen;9.55115288785989;1.090646054508605;2021
2020;Opf_Balsberg;Feinstaub PM2.5;gemessen;9.1927899601694;1.0497245953133933;2021
2021;Opf_Balsberg;Feinstaub PM2.5;gemessen;8.757335020263014;1;2021
2022;Opf_Balsberg;Feinstaub PM2.5;gemessen;8.79821365090884;1.0046679304321737;2021
2023;Opf_Balsberg;Feinstaub PM2.5;gemessen;8.289409649309588;0.9465676064840818;2021
2024;Opf_Balsberg;Feinstaub PM2.5;gemessen;7.6362604349699454;0.8719845041100873;2021
2001;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2017;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2018;Opf_Balsberg;Feinstaub PM2.5;Trend;10.03796125519499;1.1199210052618886;2021
2019;Opf_Balsberg;Feinstaub PM2.5;Trend;9.541038804720833;1.064480076957428;2021
2020;Opf_Balsberg;Feinstaub PM2.5;Trend;9.164810577108918;1.022504830773152;2021
2021;Opf_Balsberg;Feinstaub PM2.5;Trend;8.963097582804652;1;2021
2022;Opf_Balsberg;Feinstaub PM2.5;Trend;8.812430131435871;0.983190247570457;2021
2023;Opf_Balsberg;Feinstaub PM2.5;Trend;8.592834330553266;0.9586902576000377;2021
2024;Opf_Balsberg;Feinstaub PM2.5;Trend;8.362750859865328;0.9330201732835013;2021
2013;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2017;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2018;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;13.041767996382717;1.1107294803124246;2021
2019;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;10.971571243711049;0.934416838968303;2021
2020;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;11.68274807587569;0.9949857030532616;2021
2021;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;11.741624065577465;1;2021
2022;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;9.78398647891989;0.8332736957235143;2021
2023;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;9.261977648910959;0.788815720651796;2021
2024;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;8.282110121379938;0.7053632508692157;2021
2013;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2017;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2018;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;12.14357739079815;1.0628666699492413;2021
2019;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;11.530164824873395;1.0091777321455015;2021
2020;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;11.446572024993786;1.0018612719311417;2021
2021;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;11.425306422844253;1;2021
2022;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;9.883191259381613;0.8650263628484163;2021
2023;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;9.23755034365849;0.8085166385724704;2021
2024;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;8.890920512792672;0.7781778609469747;2021
1990;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1991;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1992;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1993;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1994;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1995;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1996;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1997;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
