sector;subsector_new;rootcol;order;col;year;pollutant;metric;unit;emission;source
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2015;CO;Jahresmenge;t/a;1458.844126634;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2015;CO;Jahresmenge;t/a;815.307545654;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2015;CO;Jahresmenge;t/a;137.020579229;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2015;CO;Jahresmenge;t/a;2609.664954044;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2015;CO;Jahresmenge;t/a;926.089061182;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2015;CO;Jahresmenge;t/a;199.333469527;Ostluft & BAFU
Industrie;verschiedene;Blue;9;#2C497F;2015;CO;Jahresmenge;t/a;1239.9111573781;Ostluft & BAFU
Industrie;Baumaschinen;Blue;10;#8897BD;2015;CO;Jahresmenge;t/a;504.500551508;Ostluft & BAFU
Industrie;Kehrichtverbrennungsanagen;Blue;11;#E3E4FA;2015;CO;Jahresmenge;t/a;63.896688;Ostluft & BAFU
Land- und Forstw.;verschiedene;Purple;13;#7B2CBF;2015;CO;Jahresmenge;t/a;1176.9164791924;Ostluft & BAFU
Verkehr;Strassenverkehr;Gray;15;#1A1A1A;2015;CO;Jahresmenge;t/a;6136.618168315;Ostluft & BAFU
Verkehr;verschiedene;Gray;16;#7F7F7F;2015;CO;Jahresmenge;t/a;4420.152505743;Ostluft & BAFU
Verkehr;Flugverkehr;Gray;17;#E5E5E5;2015;CO;Jahresmenge;t/a;1334.000051036;Ostluft & BAFU
Dienstleistungen;Feuerungen Holz und Kohle;Gold;1;#A67C00;2015;NH3;Jahresmenge;t/a;4.5865190590000005;Ostluft & BAFU
Dienstleistungen;Feuerungen Öl und Gas;Gold;3;#FFD447;2015;NH3;Jahresmenge;t/a;0.5825073509;Ostluft & BAFU
Dienstleistungen;verschiedene;Gold;2;#FFBF00;2015;NH3;Jahresmenge;t/a;0.002576063854;Ostluft & BAFU
Haushalte;verschiedene;Green;5;#52796F;2015;NH3;Jahresmenge;t/a;89.605992133356;Ostluft & BAFU
Haushalte;Feuerungen Holz und Kohle;Green;4;#354F52;2015;NH3;Jahresmenge;t/a;5.175305243;Ostluft & BAFU
Haushalte;Feuerungen Öl und Gas;Green;7;#CAD2C5;2015;NH3;Jahresmenge;t/a;0.017923785275999998;Ostluft & BAFU
