year;pollutant;metric;parameter;concentration;population;population_cum;population_cum_rel;source
2010;NO2;Jahresmittel;NO2;6.5;9;9;6.5354066547867495e-6;BAFU & BFS
2010;NO2;Jahresmittel;NO2;7.5;62;71;5.1557096943317693e-5;BAFU & BFS
2010;NO2;Jahresmittel;NO2;8.5;273;344;2.497977654718491e-4;BAFU & BFS
2010;NO2;Jahresmittel;NO2;9.5;895;1239;8.997076494756426e-4;BAFU & BFS
2010;NO2;Jahresmittel;NO2;10.5;1471;2710;0.001967883559385788;BAFU & BFS
2010;NO2;Jahresmittel;NO2;11.5;2705;5415;0.003932136337296694;BAFU & BFS
2010;NO2;Jahresmittel;NO2;12.5;3623;9038;0.006563000593995849;BAFU & BFS
2010;NO2;Jahresmittel;NO2;13.5;6947;15985;0.011607608375196244;BAFU & BFS
2010;NO2;Jahresmittel;NO2;14.5;13300;29285;0.02126548709838111;BAFU & BFS
2010;NO2;Jahresmittel;NO2;15.5;21852;51137;0.037133454456203335;BAFU & BFS
2010;NO2;Jahresmittel;NO2;16.5;38330;89467;0.06496702524264512;BAFU & BFS
2010;NO2;Jahresmittel;NO2;17.5;49200;138667;0.10069391495547936;BAFU & BFS
2010;NO2;Jahresmittel;NO2;18.5;66485;205152;0.14897241622697904;BAFU & BFS
2010;NO2;Jahresmittel;NO2;19.5;86121;291273;0.21150972250663344;BAFU & BFS
2010;NO2;Jahresmittel;NO2;20.5;108868;400141;0.29056490602811386;BAFU & BFS
2010;NO2;Jahresmittel;NO2;21.5;109573;509714;0.3701320297375526;BAFU & BFS
2010;NO2;Jahresmittel;NO2;22.5;101836;611550;0.44408088219275965;BAFU & BFS
2010;NO2;Jahresmittel;NO2;23.5;90108;701658;0.5095133736204845;BAFU & BFS
2010;NO2;Jahresmittel;NO2;24.5;77270;778928;0.5656234705333038;BAFU & BFS
2010;NO2;Jahresmittel;NO2;25.5;69803;848731;0.6163113583915347;BAFU & BFS
2010;NO2;Jahresmittel;NO2;26.5;63070;911801;0.6621100359156904;BAFU & BFS
2010;NO2;Jahresmittel;NO2;27.5;51264;963065;0.6993357122213557;BAFU & BFS
2010;NO2;Jahresmittel;NO2;28.5;55116;1018181;0.7393585425752698;BAFU & BFS
2010;NO2;Jahresmittel;NO2;29.5;53692;1071873;0.7783473263651375;BAFU & BFS
2010;NO2;Jahresmittel;NO2;30.5;49185;1121058;0.8140633237335471;BAFU & BFS
2010;NO2;Jahresmittel;NO2;31.5;53201;1174259;0.8526955647825816;BAFU & BFS
2010;NO2;Jahresmittel;NO2;32.5;44617;1218876;0.8850944801955394;BAFU & BFS
2010;NO2;Jahresmittel;NO2;33.5;37246;1256122;0.9121408975582268;BAFU & BFS
2010;NO2;Jahresmittel;NO2;34.5;32279;1288401;0.935580496603767;BAFU & BFS
2010;NO2;Jahresmittel;NO2;35.5;34054;1322455;0.9603090230728901;BAFU & BFS
2010;NO2;Jahresmittel;NO2;36.5;23623;1346078;0.9774630132291153;BAFU & BFS
2010;NO2;Jahresmittel;NO2;37.5;13973;1360051;0.9876095951388193;BAFU & BFS
2010;NO2;Jahresmittel;NO2;38.5;6979;1367030;0.992677439921459;BAFU & BFS
2010;NO2;Jahresmittel;NO2;39.5;4402;1371432;0.9958739799319446;BAFU & BFS
2010;NO2;Jahresmittel;NO2;40.5;1854;1373286;0.9972202737028307;BAFU & BFS
2010;NO2;Jahresmittel;NO2;41.5;1467;1374753;0.998285544987561;BAFU & BFS
2010;NO2;Jahresmittel;NO2;42.5;340;1375093;0.9985324381278529;BAFU & BFS
2010;NO2;Jahresmittel;NO2;43.5;274;1375367;0.9987314049526764;BAFU & BFS
2010;NO2;Jahresmittel;NO2;44.5;718;1376085;0.9992527851724694;BAFU & BFS
2010;NO2;Jahresmittel;NO2;45.5;363;1376448;0.9995163799075458;BAFU & BFS
2010;NO2;Jahresmittel;NO2;46.5;513;1376961;0.9998888980868686;BAFU & BFS
2010;NO2;Jahresmittel;NO2;47.5;21;1376982;0.9999041473690631;BAFU & BFS
2010;NO2;Jahresmittel;NO2;48.5;132;1377114;1;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;155.5;4;4;2.904625179905222e-6;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;156.5;4;8;5.809250359810444e-6;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;157.5;10;18;1.3070813309573499e-5;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;158.5;3;21;1.5249282194502416e-5;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;159.5;70;91;6.60802228428438e-5;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;160.5;158;249;1.8081291744910006e-4;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;161.5;352;601;4.364199332807596e-4;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;162.5;601;1202;8.728398665615192e-4;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;163.5;1182;2384;0.0017311566072235123;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;164.5;2744;5128;0.0037237294806384946;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;165.5;7007;12135;0.008811906639537468;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;166.5;28826;40961;0.02974408799852445;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;167.5;78688;119649;0.08688387453761998;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;168.5;68773;188422;0.13682382141202543;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;169.5;148656;337078;0.24477131159802312;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;170.5;298208;635286;0.4613169280103172;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;171.5;355786;991072;0.7196731715747571;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;172.5;278765;1269837;0.9221001311438268;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;173.5;66008;1335845;0.9700322558626229;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;174.5;33648;1369493;0.9944659628759855;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;175.5;7621;1377114;1;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;72.5;132;132;9.585263093687233e-5;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;73.5;21;153;1.1110191313137475e-4;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;74.5;772;925;6.716945728530826e-4;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;75.5;769;1694;0.0012301087636898615;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;76.5;478;2172;0.0015772114726885357;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;77.5;871;3043;0.0022096936056128975;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;78.5;2639;5682;0.004126020068055368;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;79.5;6533;12215;0.008869999143135573;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;80.5;14752;26967;0.019582256806626033;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;81.5;30877;57844;0.042003784726609414;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;82.5;44299;102143;0.07417178243776477;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;83.5;51935;154078;0.1118847096173592;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;84.5;61300;215378;0.15639809049940673;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;85.5;71353;286731;0.20821152061485107;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;86.5;74427;361158;0.2622571551810525;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;87.5;73996;435154;0.31598981638411927;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;88.5;80805;515959;0.3746668757996796;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;89.5;93412;609371;0.44249858762600625;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;90.5;114890;724261;0.525926684355834;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;91.5;136396;860657;0.6249714983654222;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;92.5;151958;1012615;0.7353167566374316;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;93.5;134814;1147429;0.8332127913883672;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;94.5;96354;1243783;0.9031808550345142;BAFU & BFS
