year;pollutant;metric;parameter;population_weighted_mean_base;base_year;population_weighted_mean;population;concentration_min;concentration_max;concentration_mean;concentration_median;unit;source
2010;NO2;Jahresmittel;NO2;24.18368366820993;2015;24.87872050717108;1377114;6.300000190734863;48.29999923706055;21.48245150211692;20.575000762939453;μg/m3;BAFU & BFS
2010;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;170.51008848972742;2015;170.49670403658783;1377114;155.75;175;170.20317187371373;170.5;μg/m3;BAFU & BFS
2010;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;94.98979683214827;2015;89.94351984705037;1377114;72.98013403400523;103.3995742442073;92.40334375854746;93.06058528547382;μg/m3;BAFU & BFS
2010;PM10;Jahresmittel;PM10;15.65850468661879;2015;19.737297426114335;1377114;9.5;24.150001525878906;19.093690023166882;19.299999237060547;μg/m3;BAFU & BFS
2011;NO2;Jahresmittel;NO2;24.184454840150106;2015;23.51159651632219;1396478;5.800000190734863;48.29999923706055;20.30503027788335;19.5;μg/m3;BAFU & BFS
2011;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;170.51283091029995;2015;152.07050451127864;1396478;142;157;151.4096954695819;152;μg/m3;BAFU & BFS
2011;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;94.98923829264471;2015;92.58447626529244;1396478;74.63092027501253;105.41249668641606;94.9069036982706;95.48996491164024;μg/m3;BAFU & BFS
2011;PM10;Jahresmittel;PM10;15.66021582494758;2015;19.763847612213002;1396478;9.600000381469727;24.049999237060547;19.12578756974223;19.299999237060547;μg/m3;BAFU & BFS
2012;NO2;Jahresmittel;NO2;24.17839281778081;2015;23.02522935879368;1412486;5.699999809265137;44.5;19.89910547675698;19.100000381469727;μg/m3;BAFU & BFS
2012;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;170.51191663774676;2015;142.1729061977164;1412486;129;147;141.57980897885403;142;μg/m3;BAFU & BFS
2012;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;94.99362884889794;2015;86.96026520471565;1412486;71.40668148135777;99.50845083273452;89.22443045896749;89.80320022610358;μg/m3;BAFU & BFS
2012;PM10;Jahresmittel;PM10;15.660645480281142;2015;16.808537004570056;1412486;8.600000381469727;20.75;16.231015502247317;16.299999237060547;μg/m3;BAFU & BFS
2013;NO2;Jahresmittel;NO2;24.18496563309873;2015;23.866417870526465;1429525;5.800000190734863;46;20.675947510908976;19.899999618530273;μg/m3;BAFU & BFS
2013;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;170.51505919843365;2015;154.16514809656942;1429525;138.5;159;153.23820981207476;154;μg/m3;BAFU & BFS
2013;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;94.98886833238551;2015;88.02433946238189;1429525;71.99359675968606;101.10934719813889;90.33510909453732;90.89710673868991;μg/m3;BAFU & BFS
2013;PM10;Jahresmittel;PM10;15.66309444921431;2015;18.34640348366101;1429525;8.100000381469727;22.25;17.718553053940184;17.899999618530273;μg/m3;BAFU & BFS
2014;NO2;Jahresmittel;NO2;24.201197874808003;2015;22.03306476992647;1450252;5.199999809265137;42.79999923706055;18.98606641508456;18.25;μg/m3;BAFU & BFS
2014;O3;höchstes monatl. 98%-Perzentil der ½-Stundenmittel;O3_max_98p_m1;170.5189956646332;2015;142.25938790909345;1450252;127;148;141.40101416520713;142;μg/m3;BAFU & BFS
2014;O3;mittlere sommerliche Tagesbelastung;O3_peakseason_mean_d1_max_mean_h8gl;94.97711176715524;2015;86.53763756642243;1450252;71.49672004936751;98.7293619652848;88.74449438500147;89.27760697578287;μg/m3;BAFU & BFS
2014;PM10;Jahresmittel;PM10;15.666403431483017;2015;14.615232944723614;1450252;7.199999809265137;17.849998474121094;14.122202660329842;14.25;μg/m3;BAFU & BFS
