year;pollutant;metric;parameter;bfsnr;gemeindename;population_weighted_mean;population;concentration_min;concentration_max;concentration_mean;concentration_median;unit;source
2010;NO2;Jahresmittel;NO2;1;Aeugst am Albis;14.81048657907022;1850;12.899999618530273;16;14.53492065459963;14.399999618530273;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;2;Affoltern am Albis;21.47541261203147;11087;14.300000190734863;28.399999618530273;20.650494997257447;20.700000762939453;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;3;Bonstetten;19.90572195418709;5243;15.300000190734863;21.899999618530273;19.113793037677635;19.200000762939453;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;4;Hausen am Albis;16.47927674624865;3402;12.100000381469727;22.299999237060547;15.757142776338926;15.800000190734863;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;5;Hedingen;20.36926402082347;3465;15;23.100000381469727;19.284892041048558;19.5;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;6;Kappel am Albis;16.820855765929196;935;15.600000381469727;18.100000381469727;16.69350663717691;16.600000381469727;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;7;Knonau;21.2189398564929;1811;16.399999618530273;29.5;20.34215689640419;19.449999809265137;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;8;Maschwanden;17.67395517220451;622;16.600000381469727;18.200000762939453;17.4916668732961;17.600000381469727;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;9;Mettmenstetten;20.01070101261139;4280;14.300000190734863;27.100000381469727;19.15765770920762;18.700000762939453;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;10;Obfelden;19.106651038653386;4706;17;21.5;18.940659302931564;18.899999618530273;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;11;Ottenbach;19.300164915940943;2424;16.899999618530273;20.899999618530273;18.881300701358455;18.899999618530273;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;12;Rifferswil;16.097709827360696;917;14.199999809265137;16.799999237060547;15.824358891218136;15.899999618530273;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;13;Stallikon;19.310354570928023;3187;12.300000190734863;21.700000762939453;17.934782673853526;17.799999237060547;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;14;Wettswil am Albis;20.64485525342013;4461;17;22.299999237060547;20.47984488435494;20.5;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;22;Benken (ZH);16.87980041004476;802;14.600000381469727;19;16.477586154280036;16.84999942779541;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;23;Berg am Irchel;16.429968905004657;644;13.899999618530273;17.700000762939453;16.143396179631072;16.200000762939453;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;24;Buch am Irchel;15.45717555243768;878;13.800000190734863;16.100000381469727;15.234722322887844;15.399999618530273;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;25;Dachsen;17.60305642474384;1963;15.699999809265137;21;17.52272711016915;17.34999942779541;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;26;Dorf;16.87225732085847;638;14.5;17.700000762939453;16.44473698264674;16.449999809265137;μg/m3;BAFU & BFS
2010;NO2;Jahresmittel;NO2;27;Feuerthalen;19.130891788097365;3386;16.200000762939453;23;18.988392778805324;19;μg/m3;BAFU & BFS
