year;site;site_long;siteclass;ecosystem_category;component;metric;deposition;unit;source;critical_load_min;critical_load_single;critical_load_max;estimate
2001;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.108092928;kg-N/ha/a;Ostluft;15;15;25;NA
2001;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;16.627215921;kg-N/ha/a;Ostluft;15;15;25;NA
2001;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;23.73530885;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2001;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.587945816;kg-N/ha/a;Ostluft;5;10;20;NA
2001;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;26.501188311;kg-N/ha/a;Ostluft;5;10;20;NA
2001;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;35.08913413;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2002;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.253794452;kg-N/ha/a;Ostluft;15;15;25;NA
2002;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;17.661686992;kg-N/ha/a;Ostluft;15;15;25;NA
2002;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;24.91548144;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2002;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.546210279;kg-N/ha/a;Ostluft;5;10;20;NA
2002;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;26.992942410999998;kg-N/ha/a;Ostluft;5;10;20;NA
2002;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;35.53915269;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2003;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;6.920150188;kg-N/ha/a;Ostluft;15;15;25;NA
2003;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;16.735532469;kg-N/ha/a;Ostluft;15;15;25;NA
2003;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;23.65568266;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2003;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.502958029;kg-N/ha/a;Ostluft;5;10;20;NA
2003;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;26.723804288;kg-N/ha/a;Ostluft;5;10;20;NA
2003;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;35.22676232;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2004;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.025132536;kg-N/ha/a;Ostluft;15;15;25;NA
2004;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.943260624;kg-N/ha/a;Ostluft;15;15;25;NA
2004;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;20.96839316;kg-N/ha/a;Ostluft;15;15;25;gemessen
2004;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.398768873;kg-N/ha/a;Ostluft;5;10;20;NA
2004;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;20.792276893;kg-N/ha/a;Ostluft;5;10;20;NA
2004;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;29.19104576;kg-N/ha/a;Ostluft;5;10;20;gemessen
2005;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.548995528;kg-N/ha/a;Ostluft;15;15;25;NA
2005;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;15.022971672;kg-N/ha/a;Ostluft;15;15;25;NA
2005;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;22.5719672;kg-N/ha/a;Ostluft;15;15;25;gemessen
2005;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.913382918;kg-N/ha/a;Ostluft;5;10;20;NA
2005;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;21.960110687;kg-N/ha/a;Ostluft;5;10;20;NA
2005;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;30.8734936;kg-N/ha/a;Ostluft;5;10;20;gemessen
2006;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;8.048167755;kg-N/ha/a;Ostluft;15;15;25;NA
2006;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;18.516759222999998;kg-N/ha/a;Ostluft;15;15;25;NA
2006;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;26.56492698;kg-N/ha/a;Ostluft;15;15;25;gemessen
2006;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;9.494996633;kg-N/ha/a;Ostluft;5;10;20;NA
2006;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;28.479555611;kg-N/ha/a;Ostluft;5;10;20;NA
2006;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;37.97455224;kg-N/ha/a;Ostluft;5;10;20;gemessen
2007;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;6.903831433;kg-N/ha/a;Ostluft;15;15;25;NA
2007;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.936159137999999;kg-N/ha/a;Ostluft;15;15;25;NA
2007;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.83999057;kg-N/ha/a;Ostluft;15;15;25;gemessen
2007;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.300701362;kg-N/ha/a;Ostluft;5;10;20;NA
2007;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.466592975;kg-N/ha/a;Ostluft;5;10;20;NA
2007;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;31.76729434;kg-N/ha/a;Ostluft;5;10;20;gemessen
2008;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.003830327;kg-N/ha/a;Ostluft;15;15;25;NA
2008;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.561062861;kg-N/ha/a;Ostluft;15;15;25;NA
2008;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;19.56489319;kg-N/ha/a;Ostluft;15;15;25;gemessen
2008;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.4922813089999991;kg-N/ha/a;Ostluft;5;10;20;NA
2008;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;19.474052141999998;kg-N/ha/a;Ostluft;5;10;20;NA
2008;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;27.96633345;kg-N/ha/a;Ostluft;5;10;20;gemessen
2009;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.137177637000001;kg-N/ha/a;Ostluft;15;15;25;NA
2009;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;15.74687839;kg-N/ha/a;Ostluft;15;15;25;NA
2009;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;22.88405603;kg-N/ha/a;Ostluft;15;15;25;gemessen
2009;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.50983168;kg-N/ha/a;Ostluft;5;10;20;NA
2009;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;24.736022697;kg-N/ha/a;Ostluft;5;10;20;NA
2009;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;33.245854370000004;kg-N/ha/a;Ostluft;5;10;20;gemessen
2010;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.2737993240000005;kg-N/ha/a;Ostluft;15;15;25;NA
2010;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.320279487;kg-N/ha/a;Ostluft;15;15;25;NA
2010;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;20.59407881;kg-N/ha/a;Ostluft;15;15;25;gemessen
2010;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.735088499;kg-N/ha/a;Ostluft;5;10;20;NA
2010;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;21.299259903;kg-N/ha/a;Ostluft;5;10;20;NA
2010;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;30.0343484;kg-N/ha/a;Ostluft;5;10;20;gemessen
2011;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;6.671130229;kg-N/ha/a;Ostluft;15;15;25;NA
2011;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.387985767;kg-N/ha/a;Ostluft;15;15;25;NA
2011;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.059116;kg-N/ha/a;Ostluft;15;15;25;gemessen
2011;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.169535448;kg-N/ha/a;Ostluft;5;10;20;NA
2011;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.683404171;kg-N/ha/a;Ostluft;5;10;20;NA
2011;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;31.85293962;kg-N/ha/a;Ostluft;5;10;20;gemessen
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.400164453;kg-N/ha/a;Ostluft;15;15;25;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.638891486;kg-N/ha/a;Ostluft;15;15;25;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.03905594;kg-N/ha/a;Ostluft;15;15;25;gemessen
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.747928979000001;kg-N/ha/a;Ostluft;5;10;20;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;21.478120187000002;kg-N/ha/a;Ostluft;5;10;20;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;30.22604916;kg-N/ha/a;Ostluft;5;10;20;gemessen
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.767668941;kg-N/ha/a;Ostluft;15;15;25;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.398425537;kg-N/ha/a;Ostluft;15;15;25;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.16609448;kg-N/ha/a;Ostluft;15;15;25;gemessen
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;9.273327588;kg-N/ha/a;Ostluft;5;10;20;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;20.585264261;kg-N/ha/a;Ostluft;5;10;20;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;29.85859185;kg-N/ha/a;Ostluft;5;10;20;gemessen
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;6.612183089;kg-N/ha/a;Ostluft;15;15;25;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.635644942;kg-N/ha/a;Ostluft;15;15;25;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.24782803;kg-N/ha/a;Ostluft;15;15;25;gemessen
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;7.941082661;kg-N/ha/a;Ostluft;5;10;20;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.684067017;kg-N/ha/a;Ostluft;5;10;20;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;31.62514968;kg-N/ha/a;Ostluft;5;10;20;gemessen
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.810171002;kg-N/ha/a;Ostluft;15;15;25;NA
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.944468749;kg-N/ha/a;Ostluft;15;15;25;NA
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;18.75463975;kg-N/ha/a;Ostluft;15;15;25;gemessen
