year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2003;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;8.025456324665493;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2006;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;6.026886795600537;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2008;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.815758344104085;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2009;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.86158716233676;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2012;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;7.430888698683762;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2013;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.140471931079257;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2015;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.9055808894246944;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2020;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.831539039395584;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.918995911583225;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2022;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;6.635218806008628;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
