pollutant;metric;year;vehicle_fuel_type;emission;unit;n;standarderror;source
NOx;Mittelwert;2002;all;5.273044702678115;g/kg fuel;15284;0.08072907994956388;Kanton Zürich/AWEL
NOx;Mittelwert;2002;diesel;16.1896797138949;g/kg fuel;1102;0.2946220885615134;Kanton Zürich/AWEL
NOx;Mittelwert;2002;gasoline;4.424777054789179;g/kg fuel;14182;0.07963659337846953;Kanton Zürich/AWEL
NOx;Mittelwert;2003;all;5.482990700382687;g/kg fuel;10475;0.10346146673444805;Kanton Zürich/AWEL
NOx;Mittelwert;2003;diesel;18.952070789107644;g/kg fuel;952;0.3656713438101185;Kanton Zürich/AWEL
NOx;Mittelwert;2003;gasoline;4.136507003599514;g/kg fuel;9523;0.09757802525481989;Kanton Zürich/AWEL
NOx;Mittelwert;2004;all;5.389034887663798;g/kg fuel;13933;0.09116640127071925;Kanton Zürich/AWEL
NOx;Mittelwert;2004;diesel;20.294998261987214;g/kg fuel;1473;0.3229696308326637;Kanton Zürich/AWEL
NOx;Mittelwert;2004;gasoline;3.6268772592225145;g/kg fuel;12460;0.08110649611164102;Kanton Zürich/AWEL
NOx;Mittelwert;2005;all;6.071297371853728;g/kg fuel;14880;0.09694703551424491;Kanton Zürich/AWEL
NOx;Mittelwert;2005;diesel;21.20213149780251;g/kg fuel;1924;0.30334385377834966;Kanton Zürich/AWEL
NOx;Mittelwert;2005;gasoline;3.8243287968054522;g/kg fuel;12956;0.08576216687338914;Kanton Zürich/AWEL
NOx;Mittelwert;2006;all;6.105122607549629;g/kg fuel;16039;0.08939854969528319;Kanton Zürich/AWEL
NOx;Mittelwert;2006;diesel;19.863350265798545;g/kg fuel;2585;0.23757756403271182;Kanton Zürich/AWEL
NOx;Mittelwert;2006;gasoline;3.461669471190669;g/kg fuel;13454;0.07779809644090566;Kanton Zürich/AWEL
NOx;Mittelwert;2007;all;5.739692393612396;g/kg fuel;10615;0.10374446091309723;Kanton Zürich/AWEL
NOx;Mittelwert;2007;diesel;17.91544874468479;g/kg fuel;1939;0.2633788144072266;Kanton Zürich/AWEL
NOx;Mittelwert;2007;gasoline;3.0185315401396693;g/kg fuel;8676;0.08930504055938251;Kanton Zürich/AWEL
NOx;Mittelwert;2008;all;6.473096739520547;g/kg fuel;17110;0.09149814113203664;Kanton Zürich/AWEL
NOx;Mittelwert;2008;diesel;19.22039044957185;g/kg fuel;3519;0.22314823087530514;Kanton Zürich/AWEL
NOx;Mittelwert;2008;gasoline;3.1725503069055425;g/kg fuel;13591;0.07767657602073368;Kanton Zürich/AWEL
NOx;Mittelwert;2009;all;6.446744409863453;g/kg fuel;16939;0.08570669773173709;Kanton Zürich/AWEL
NOx;Mittelwert;2009;diesel;18.088022270752983;g/kg fuel;3919;0.18828074851056328;Kanton Zürich/AWEL
NOx;Mittelwert;2009;gasoline;2.9427376558829565;g/kg fuel;13020;0.07173542892583248;Kanton Zürich/AWEL
NOx;Mittelwert;2010;all;6.516229082835655;g/kg fuel;17273;0.08564475800850303;Kanton Zürich/AWEL
NOx;Mittelwert;2010;diesel;18.273489598473923;g/kg fuel;4417;0.17563962291012167;Kanton Zürich/AWEL
NOx;Mittelwert;2010;gasoline;2.476728484082214;g/kg fuel;12856;0.06809165126442202;Kanton Zürich/AWEL
NOx;Mittelwert;2011;all;5.69952823106753;g/kg fuel;19818;0.06890868490358663;Kanton Zürich/AWEL
NOx;Mittelwert;2011;diesel;15.54181535039201;g/kg fuel;5540;0.13481323929848765;Kanton Zürich/AWEL
NOx;Mittelwert;2011;gasoline;1.8806270795716895;g/kg fuel;14278;0.05251884389690263;Kanton Zürich/AWEL
NOx;Mittelwert;2012;all;5.993023016246715;g/kg fuel;20436;0.06960863640987365;Kanton Zürich/AWEL
NOx;Mittelwert;2012;diesel;15.525260530415762;g/kg fuel;6344;0.13115915564956795;Kanton Zürich/AWEL
NOx;Mittelwert;2012;gasoline;1.7017574194621252;g/kg fuel;14092;0.04994279259270435;Kanton Zürich/AWEL
NOx;Mittelwert;2013;all;8.049728355251297;g/kg fuel;27949;0.07719028037312123;Kanton Zürich/AWEL
NOx;Mittelwert;2013;diesel;19.797731905244618;g/kg fuel;9458;0.1408039239153537;Kanton Zürich/AWEL
NOx;Mittelwert;2013;gasoline;2.0407176161978753;g/kg fuel;18491;0.051529556663307385;Kanton Zürich/AWEL
NOx;Mittelwert;2014;all;8.492561640353129;g/kg fuel;29200;0.07773312406154259;Kanton Zürich/AWEL
NOx;Mittelwert;2014;diesel;20.44162554012552;g/kg fuel;10335;0.13594582162587435;Kanton Zürich/AWEL
