year;pollutant;parameter;value
1990;Russ im Feinstaub;relative Immission;NA
1991;Russ im Feinstaub;relative Immission;NA
1992;Russ im Feinstaub;relative Immission;NA
1993;Russ im Feinstaub;relative Immission;NA
1994;Russ im Feinstaub;relative Immission;NA
1995;Russ im Feinstaub;relative Immission;NA
1996;Russ im Feinstaub;relative Immission;NA
1997;Russ im Feinstaub;relative Immission;NA
1998;Russ im Feinstaub;relative Immission;NA
1999;Russ im Feinstaub;relative Immission;NA
2000;Russ im Feinstaub;relative Immission;NA
2001;Russ im Feinstaub;relative Immission;NA
2002;Russ im Feinstaub;relative Immission;NA
2003;Russ im Feinstaub;relative Immission;2.6154974057142857
2004;Russ im Feinstaub;relative Immission;2.5240100157142864
2005;Russ im Feinstaub;relative Immission;2.753580208571429
2006;Russ im Feinstaub;relative Immission;3.1500754114285714
2007;Russ im Feinstaub;relative Immission;1.1357142857142861
2008;Russ im Feinstaub;relative Immission;1.8239820357142857
2009;Russ im Feinstaub;relative Immission;0.9480916842857143
2010;Russ im Feinstaub;relative Immission;0.5285714285714287
2011;Russ im Feinstaub;relative Immission;0.6000000000000003
2012;Russ im Feinstaub;relative Immission;0.19285714285714284
2013;Russ im Feinstaub;relative Immission;0.22789408857142845
2014;Russ im Feinstaub;relative Immission;0.14673469357142865
2015;Russ im Feinstaub;relative Immission;0
2016;Russ im Feinstaub;relative Immission;-0.028509316428571352
2017;Russ im Feinstaub;relative Immission;-0.16428571428571426
2018;Russ im Feinstaub;relative Immission;-0.30785714285714283
2019;Russ im Feinstaub;relative Immission;-0.3305251164285714
2020;Russ im Feinstaub;relative Immission;-0.40714285714285714
2021;Russ im Feinstaub;relative Immission;-0.4614285714285714
2022;Russ im Feinstaub;relative Immission;-0.4107142857142857
2023;Russ im Feinstaub;relative Immission;-0.5463087071428572
2024;Russ im Feinstaub;relative Immission;-0.523060847142857
1990;Stickstoxide NO2 | NOx;relative Immission;1.17353579175705
1991;Stickstoxide NO2 | NOx;relative Immission;1.1561822125813448
1992;Stickstoxide NO2 | NOx;relative Immission;0.7389442021691972
1993;Stickstoxide NO2 | NOx;relative Immission;0.8481561822125814
1994;Stickstoxide NO2 | NOx;relative Immission;0.4672451193058569
1995;Stickstoxide NO2 | NOx;relative Immission;0.49522776572668126
1996;Stickstoxide NO2 | NOx;relative Immission;0.5509761388286334
1997;Stickstoxide NO2 | NOx;relative Immission;0.5001686937093277
1998;Stickstoxide NO2 | NOx;relative Immission;0.5248251173535792
1999;Stickstoxide NO2 | NOx;relative Immission;0.5010845986984815
2000;Stickstoxide NO2 | NOx;relative Immission;0.4086767895878525
2001;Stickstoxide NO2 | NOx;relative Immission;0.3978308026030368
2002;Stickstoxide NO2 | NOx;relative Immission;0.11930582386117128
2003;Stickstoxide NO2 | NOx;relative Immission;0.34490238611713653
2004;Stickstoxide NO2 | NOx;relative Immission;0.13036876355748372
2005;Stickstoxide NO2 | NOx;relative Immission;0.21843817787418662
2006;Stickstoxide NO2 | NOx;relative Immission;0.3343167028199565
2007;Stickstoxide NO2 | NOx;relative Immission;-0.03882863340563991
2008;Stickstoxide NO2 | NOx;relative Immission;0.01942574793926255
2009;Stickstoxide NO2 | NOx;relative Immission;0.011636471800433812
2010;Stickstoxide NO2 | NOx;relative Immission;0.018438177874186668
2011;Stickstoxide NO2 | NOx;relative Immission;-0.04295010845986991
2012;Stickstoxide NO2 | NOx;relative Immission;-0.052494577006507614
2013;Stickstoxide NO2 | NOx;relative Immission;0.07049450347071584
2014;Stickstoxide NO2 | NOx;relative Immission;-0.04945770065075927
2015;Stickstoxide NO2 | NOx;relative Immission;0
