year;site;site_long;source;parameter;interval;unit;value
1994;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;45.08
1995;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;46.06
1996;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;46.86
1997;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;46.35
1998;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;44.92
1999;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;45.06
2000;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;44.84
2001;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;38.16
2002;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;38.09999847
2003;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;43.87
2004;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;39.08
2005;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;41.1
2006;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;42.0279
2007;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;40.06
2008;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;37.81502712
2009;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;38.27101164
2010;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;37.62
2011;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;36.1874181
2012;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;32.24
2013;8000_0060;Zürich - Gerhardstrasse;OSTLUFT;NO2;y1;µg/m3;33.13
