year;pollutant;unit;sector;subsector_new;emission
2015;CO;t/a;Dienstleistungen;Dienstleistungen / weitere;4643.897889558
2015;CO;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;4743.849412082
2015;CO;t/a;Haushalte;Haushalte / weitere;2322.672382558
2015;CO;t/a;Industrie;Industrie / Punktquellen KVA;63.896688
2015;CO;t/a;Industrie;Industrie / weitere;3107.7866830981
2015;CO;t/a;Land- und Forstw.;Land- und Forstw. / weitere;2344.4912790674
2015;CO;t/a;Verkehr;Verkehr / Flugverkehr Zürich;2668.233832188
2015;CO;t/a;Verkehr;Verkehr / Strassenverkehr;12349.384009079
2015;CO;t/a;Verkehr;Verkehr / Zonenverkehr;8534.911080914
2015;CO;t/a;Verkehr;Verkehr / weitere;94.23811551
2015;NH3;t/a;Dienstleistungen;Dienstleistungen / weitere;10.009938632754
2015;NH3;t/a;Haushalte;Haushalte / weitere;109.712999784632
2015;NH3;t/a;Industrie;Industrie / Punktquellen KVA;6.278693693
2015;NH3;t/a;Industrie;Industrie / weitere;200.4181675161673
2015;NH3;t/a;Land- und Forstw.;Land- und Forstw. / weitere;28.2948091901774
2015;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Weiden;2836.154476734
2015;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;2624.308623401
2015;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Landwirtschaftliche Nutzflächen;390.750566388
2015;NH3;t/a;Verkehr;Verkehr / Strassenverkehr;372.232618054
2015;NH3;t/a;Verkehr;Verkehr / weitere;0.01224046795
2015;NMVOC;t/a;Dienstleistungen;Dienstleistungen / weitere;349.835537632
2015;NMVOC;t/a;Haushalte;Haushalte / weitere;628.172869422
2015;NMVOC;t/a;Haushalte;Haushalte / Lösungsmittel Konsumprodukte;3406.281942988
2015;NMVOC;t/a;Industrie;Industrie / Punktquellen KVA;59.769712
2015;NMVOC;t/a;Industrie;Industrie / weitere;1683.09308292564
2015;NMVOC;t/a;Industrie;Industrie / Lösungsmittel Industrie;11065.570149993
2015;NMVOC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;361.2263871642
2015;NMVOC;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;1816.346757948
2015;NMVOC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;606.191650087
2015;NMVOC;t/a;Verkehr;Verkehr / weitere;2752.911747366
2015;NMVOC;t/a;natürl. Emissionen;natürl. Emissionen / Wälder;4289.386099001
2015;NMVOC;t/a;natürl. Emissionen;natürl. Emissionen / Emissionen aus Wäldern;4289.386099003
2015;NOx;t/a;Dienstleistungen;Dienstleistungen / weitere;1199.455506455
2015;NOx;t/a;Haushalte;Haushalte / weitere;1240.479466387
2015;NOx;t/a;Industrie;Industrie / Punktquellen KVA;708.10422809
2015;NOx;t/a;Industrie;Industrie / weitere;1945.9536465125
2015;NOx;t/a;Land- und Forstw.;Land- und Forstw. / weitere;880.0621537122
2015;NOx;t/a;Verkehr;Verkehr / Flugverkehr Zürich;2306.132203858
2015;NOx;t/a;Verkehr;Verkehr / Strassenverkehr;12629.720176612
2015;NOx;t/a;Verkehr;Verkehr / weitere;386.02319839300003
2015;NOx;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren;18.3127079
2015;PM10;t/a;Dienstleistungen;Dienstleistungen / weitere;199.791994537
2015;PM10;t/a;Haushalte;Haushalte / weitere;583.624371511
2015;PM10;t/a;Industrie;Industrie / Punktquellen KVA;12.671607218
2015;PM10;t/a;Industrie;Industrie / weitere;12.60510228129
2015;PM10;t/a;Industrie;Industrie / Baumaschinen;518.538545714
2015;PM10;t/a;Industrie;Industrie / Flächenquellen Industrie;499.818565515
2015;PM10;t/a;Land- und Forstw.;Land- und Forstw. / weitere;267.82151066667
2015;PM10;t/a;Verkehr;Verkehr / Flugverkehr Zürich;42.535502002
2015;PM10;t/a;Verkehr;Verkehr / Strassenverkehr;989.759168502
2015;PM10;t/a;Verkehr;Verkehr / weitere;240.846811882
2015;PM10;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren ;15.39027119
2015;PM2.5;t/a;Dienstleistungen;Dienstleistungen / weitere;6.017448618
2015;PM2.5;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;186.442291789
2015;PM2.5;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;221.421251245
2015;PM2.5;t/a;Haushalte;Haushalte / weitere;125.5418058471
2015;PM2.5;t/a;Haushalte;Haushalte / Haushalte andere Feuerwerk etc;130.596816206
2015;PM2.5;t/a;Industrie;Industrie / Punktquellen KVA;7.2771228
2015;PM2.5;t/a;Industrie;Industrie / weitere;97.65714862526
2015;PM2.5;t/a;Industrie;Industrie / Flächenquellen Industrie;335.403004715
2015;PM2.5;t/a;Land- und Forstw.;Land- und Forstw. / weitere;63.4775220183
2015;PM2.5;t/a;Verkehr;Verkehr / Flugverkehr Zürich;42.535502002
2015;PM2.5;t/a;Verkehr;Verkehr / Strassenverkehr;449.647719874
2015;PM2.5;t/a;Verkehr;Verkehr / weitere;46.387979331
2015;PM2.5;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren ;2.383263588
2015;SO2;t/a;Dienstleistungen;Dienstleistungen / weitere;208.11333105918
2015;SO2;t/a;Haushalte;Haushalte / weitere;275.22712041977
2015;SO2;t/a;Industrie;Industrie / Punktquellen KVA;46.147608
2015;SO2;t/a;Industrie;Industrie / weitere;34.7655943988839
2015;SO2;t/a;Industrie;Industrie / Flächenquellen Industrie;480.172617391
2015;SO2;t/a;Land- und Forstw.;Land- und Forstw. / weitere;2.7358722171868
2015;SO2;t/a;Verkehr;Verkehr / Flugverkehr Zürich;97.392611217
2015;SO2;t/a;Verkehr;Verkehr / weitere;22.611727678
2015;eBC;t/a;Dienstleistungen;Dienstleistungen / weitere;0.23127086859999998
2015;eBC;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;49.7966513
2015;eBC;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;102.104747178
2015;eBC;t/a;Haushalte;Haushalte / weitere;9.01739853731
2015;eBC;t/a;Industrie;Industrie / weitere;8.87781413848
2015;eBC;t/a;Industrie;Industrie / Flächenquellen Industrie;16.614173419
2015;eBC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;24.189511502994
2015;eBC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;16.532479366
2015;eBC;t/a;Verkehr;Verkehr / Strassenverkehr;126.269562058
2015;eBC;t/a;Verkehr;Verkehr / weitere;7.791740421
2020;CO;t/a;Dienstleistungen;Dienstleistungen / weitere;4231.163207498
2020;CO;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;3993.534876903
2020;CO;t/a;Haushalte;Haushalte / weitere;2225.572805794
2020;CO;t/a;Industrie;Industrie / Punktquellen KVA;63.966620052
2020;CO;t/a;Industrie;Industrie / weitere;3243.6485826201
2020;CO;t/a;Land- und Forstw.;Land- und Forstw. / weitere;2067.003447482
2020;CO;t/a;Verkehr;Verkehr / Flugverkehr Zürich;1088.0539738109999
2020;CO;t/a;Verkehr;Verkehr / Strassenverkehr;9372.085514842
2020;CO;t/a;Verkehr;Verkehr / Zonenverkehr;6567.391200055
2020;CO;t/a;Verkehr;Verkehr / weitere;104.205637269
2020;NH3;t/a;Dienstleistungen;Dienstleistungen / weitere;10.745125807212
2020;NH3;t/a;Haushalte;Haushalte / weitere;102.200538072754
2020;NH3;t/a;Industrie;Industrie / Punktquellen KVA;6.266573083
2020;NH3;t/a;Industrie;Industrie / weitere;193.6235395991161
2020;NH3;t/a;Land- und Forstw.;Land- und Forstw. / weitere;57.6978966117166
2020;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Weiden;2773.935790908
2020;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;2563.486999843
2020;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Landwirtschaftliche Nutzflächen;395.158087866
2020;NH3;t/a;Verkehr;Verkehr / Strassenverkehr;270.56257223
2020;NH3;t/a;Verkehr;Verkehr / weitere;0.012210492849999999
2020;NMVOC;t/a;Dienstleistungen;Dienstleistungen / weitere;301.952759627
2020;NMVOC;t/a;Haushalte;Haushalte / weitere;537.508547773
