concentration;population;population_cum_relative;year;parameter;source
6.5;7;4.754930863305248e-6;2015;NO2;OSTLUFT, BAFU, BFS
7.5;22;1.9698999290836026e-5;2015;NO2;OSTLUFT, BAFU, BFS
8.5;91;8.151310051380425e-5;2015;NO2;OSTLUFT, BAFU, BFS
9.5;494;4.1707536429563173e-4;2015;NO2;OSTLUFT, BAFU, BFS
10.5;1185;0.0012220172318694487;2015;NO2;OSTLUFT, BAFU, BFS
11.5;2165;0.002692649420306;2015;NO2;OSTLUFT, BAFU, BFS
12.5;4268;0.005591798695246971;2015;NO2;OSTLUFT, BAFU, BFS
13.5;8981;0.011692374992867604;2015;NO2;OSTLUFT, BAFU, BFS
14.5;28328;0.030934900920826326;2015;NO2;OSTLUFT, BAFU, BFS
15.5;49261;0.06439670795758058;2015;NO2;OSTLUFT, BAFU, BFS
16.5;51721;0.09952953355486782;2015;NO2;OSTLUFT, BAFU, BFS
17.5;80015;0.15388178970163488;2015;NO2;OSTLUFT, BAFU, BFS
18.5;136803;0.24680876211488456;2015;NO2;OSTLUFT, BAFU, BFS
19.5;158028;0.3541533641815134;2015;NO2;OSTLUFT, BAFU, BFS
20.5;137348;0.44745054192626327;2015;NO2;OSTLUFT, BAFU, BFS
21.5;152193;0.5508315694804083;2015;NO2;OSTLUFT, BAFU, BFS
22.5;131677;0.6402765739500433;2015;NO2;OSTLUFT, BAFU, BFS
23.5;100133;0.7082945013979497;2015;NO2;OSTLUFT, BAFU, BFS
24.5;97990;0.774856740725847;2015;NO2;OSTLUFT, BAFU, BFS
25.5;81320;0.8300954518407017;2015;NO2;OSTLUFT, BAFU, BFS
26.5;59684;0.8706373509329174;2015;NO2;OSTLUFT, BAFU, BFS
27.5;44353;0.9007652721586571;2015;NO2;OSTLUFT, BAFU, BFS
28.5;40231;0.9280932183817476;2015;NO2;OSTLUFT, BAFU, BFS
29.5;25796;0.9456158178888651;2015;NO2;OSTLUFT, BAFU, BFS
30.5;20339;0.9594316091501173;2015;NO2;OSTLUFT, BAFU, BFS
31.5;13390;0.9685271126157826;2015;NO2;OSTLUFT, BAFU, BFS
32.5;7205;0.9734212950257989;2015;NO2;OSTLUFT, BAFU, BFS
33.5;7210;0.9783188738150033;2015;NO2;OSTLUFT, BAFU, BFS
34.5;4835;0.981603172489872;2015;NO2;OSTLUFT, BAFU, BFS
35.5;4757;0.9848344876494067;2015;NO2;OSTLUFT, BAFU, BFS
36.5;3532;0.987233689907863;2015;NO2;OSTLUFT, BAFU, BFS
37.5;2353;0.9888320259537712;2015;NO2;OSTLUFT, BAFU, BFS
38.5;2555;0.9905675757188777;2015;NO2;OSTLUFT, BAFU, BFS
39.5;2532;0.9922875021397188;2015;NO2;OSTLUFT, BAFU, BFS
40.5;1742;0.9934708006488443;2015;NO2;OSTLUFT, BAFU, BFS
41.5;658;0.993917764149995;2015;NO2;OSTLUFT, BAFU, BFS
42.5;1014;0.9946065498493366;2015;NO2;OSTLUFT, BAFU, BFS
43.5;959;0.9952579753776094;2015;NO2;OSTLUFT, BAFU, BFS
44.5;482;0.9955853863313399;2015;NO2;OSTLUFT, BAFU, BFS
45.5;340;0.995816340116129;2015;NO2;OSTLUFT, BAFU, BFS
46.5;424;0.9961043530712778;2015;NO2;OSTLUFT, BAFU, BFS
47.5;1162;0.9968936715945864;2015;NO2;OSTLUFT, BAFU, BFS
48.5;587;0.9972924065112665;2015;NO2;OSTLUFT, BAFU, BFS
49.5;391;0.997558003363774;2015;NO2;OSTLUFT, BAFU, BFS
50.5;224;0.9977101611513998;2015;NO2;OSTLUFT, BAFU, BFS
51.5;866;0.9982984140267743;2015;NO2;OSTLUFT, BAFU, BFS
52.5;291;0.9984960832955203;2015;NO2;OSTLUFT, BAFU, BFS
53.5;361;0.9987413018728993;2015;NO2;OSTLUFT, BAFU, BFS
54.5;51;0.9987759449406177;2015;NO2;OSTLUFT, BAFU, BFS
55.5;322;0.9989946717603297;2015;NO2;OSTLUFT, BAFU, BFS
56.5;100;0.9990625993440913;2015;NO2;OSTLUFT, BAFU, BFS
57.5;90;0.9991237341694766;2015;NO2;OSTLUFT, BAFU, BFS
59.5;130;0.9992120400283666;2015;NO2;OSTLUFT, BAFU, BFS
60.5;47;0.9992439659927345;2015;NO2;OSTLUFT, BAFU, BFS
61.5;258;0.9994192191588391;2015;NO2;OSTLUFT, BAFU, BFS
62.5;17;0.9994307668480786;2015;NO2;OSTLUFT, BAFU, BFS
63.5;230;0.9995870002907301;2015;NO2;OSTLUFT, BAFU, BFS
64.5;118;0.9996671548395686;2015;NO2;OSTLUFT, BAFU, BFS
