vehicle_model_year;vehicle_type;vehicle_fuel_type;NOx_emission;unit;n;standarderror;NOx_emission_threshold_g_per_kg_fuel;source
1992;passenger car;gasoline;9.738206732028587;g/kg fuel;3079;0.26641741408610636;8.3;Kanton Zürich/AWEL
1992;passenger car;diesel;NA;g/kg fuel;37;NA;20;Kanton Zürich/AWEL
1992;light duty vehicle;gasoline;13.007170344866694;g/kg fuel;117;1.3453783696549024;8.3;Kanton Zürich/AWEL
1992;light duty vehicle;diesel;11.185307173323334;g/kg fuel;82;0.6053280213859162;20;Kanton Zürich/AWEL
1993;passenger car;gasoline;8.927182938839085;g/kg fuel;3789;0.2127837016173359;8.3;Kanton Zürich/AWEL
1993;passenger car;diesel;12.354077882434341;g/kg fuel;68;1.2356295339061925;20;Kanton Zürich/AWEL
1993;light duty vehicle;gasoline;12.52808263431278;g/kg fuel;142;1.2890048900932305;8.3;Kanton Zürich/AWEL
1993;light duty vehicle;diesel;NA;g/kg fuel;20;NA;20;Kanton Zürich/AWEL
1994;passenger car;gasoline;8.365361439831329;g/kg fuel;5055;0.18658778725675343;8.3;Kanton Zürich/AWEL
1994;passenger car;diesel;13.601899134943876;g/kg fuel;95;0.9636227572249595;20;Kanton Zürich/AWEL
1994;light duty vehicle;gasoline;13.92425678863379;g/kg fuel;252;1.1929818257184392;8.3;Kanton Zürich/AWEL
1994;light duty vehicle;diesel;NA;g/kg fuel;45;NA;20;Kanton Zürich/AWEL
1995;passenger car;gasoline;7.778003916599776;g/kg fuel;5540;0.17680273347517966;8.3;Kanton Zürich/AWEL
1995;passenger car;diesel;12.059308735826678;g/kg fuel;136;0.8276452756875058;20;Kanton Zürich/AWEL
1995;light duty vehicle;gasoline;10.9440434595717;g/kg fuel;283;0.9723389546323861;8.3;Kanton Zürich/AWEL
1995;light duty vehicle;diesel;17.817809372279328;g/kg fuel;120;0.8821006389539403;20;Kanton Zürich/AWEL
1996;passenger car;gasoline;6.294678225263999;g/kg fuel;8788;0.12280625134338567;3.6;Kanton Zürich/AWEL
1996;passenger car;diesel;16.21484523223586;g/kg fuel;377;0.5730780592901072;10.9;Kanton Zürich/AWEL
1996;light duty vehicle;gasoline;10.51678552294359;g/kg fuel;513;0.7182541069367235;3.6;Kanton Zürich/AWEL
1996;light duty vehicle;diesel;17.134918216081438;g/kg fuel;201;0.6547269417906365;10.9;Kanton Zürich/AWEL
1997;passenger car;gasoline;5.323667455503349;g/kg fuel;9276;0.10780199199333762;3.6;Kanton Zürich/AWEL
1997;passenger car;diesel;16.985740406151308;g/kg fuel;292;0.6089650816264632;10.9;Kanton Zürich/AWEL
1997;light duty vehicle;gasoline;9.772443449554773;g/kg fuel;434;0.6396248551279728;3.6;Kanton Zürich/AWEL
1997;light duty vehicle;diesel;18.85077980611467;g/kg fuel;174;0.8187372028430311;10.9;Kanton Zürich/AWEL
1998;passenger car;gasoline;4.88584402041529;g/kg fuel;12274;0.09585348531292698;3.6;Kanton Zürich/AWEL
1998;passenger car;diesel;20.891328884845013;g/kg fuel;570;0.45573258107503933;10.9;Kanton Zürich/AWEL
1998;light duty vehicle;gasoline;6.970592071833048;g/kg fuel;699;0.4742268511649777;3.6;Kanton Zürich/AWEL
1998;light duty vehicle;diesel;16.682875647754383;g/kg fuel;521;0.42010352677003676;10.9;Kanton Zürich/AWEL
1999;passenger car;gasoline;4.126907202173366;g/kg fuel;14083;0.08830413384163076;3.6;Kanton Zürich/AWEL
1999;passenger car;diesel;22.853253481732384;g/kg fuel;898;0.41460893692262546;10.9;Kanton Zürich/AWEL
1999;light duty vehicle;gasoline;5.974495624827595;g/kg fuel;577;0.569390161233399;3.6;Kanton Zürich/AWEL
1999;light duty vehicle;diesel;19.30219634880035;g/kg fuel;385;0.5206348786823726;10.9;Kanton Zürich/AWEL
